"Source:"	"/home/jgroth/dev/repos_github/8bit_computer_clock_ben_eater/8bit_computer_clock_ben_eater.sch"
"Date:"	"Thu 31 Oct 2019 22:18:54 GMT"
"Tool:"	"Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Component Count:"	"34"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C2"	"1uF"	"Device:CP_Small"	"Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T"	"Polarized capacitor, small symbol"	""
"C3"	"10nF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C4"	"10nF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C5"	"10nF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C6"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C7"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C8"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C9"	"100uF"	"Device:CP_Small"	"Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T"	"Polarized capacitor, small symbol"	""
"C10"	"100nF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"C11"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric"	"Unpolarized capacitor, small symbol"	""
"D1"	"LED"	"Device:LED"	"LED_SMD:LED_0805_2012Metric"	"Light emitting diode"	""
"D2"	"LED"	"Device:LED"	"LED_SMD:LED_0805_2012Metric"	"Light emitting diode"	""
"D3"	"LED"	"Device:LED"	"LED_SMD:LED_0805_2012Metric"	"Light emitting diode"	""
"D5"	"LED"	"Device:LED"	"LED_SMD:LED_0805_2012Metric"	"Light emitting diode"	""
"J1"	"Barrel_Jack_Switch"	"Connector:Barrel_Jack_Switch"	"grotto:Barrel Jack RS Pro DC Socket 2.5mm - SMT"	"DC Barrel Jack with an internal switch"	""
"R1"	"1k"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R2"	"1k"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R3"	"1k"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R4"	"1k"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R5"	"1k"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R6"	"1M"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R7"	"220"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R8"	"220"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R9"	"220"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"R11"	"220"	"Device:R_Small"	"Resistor_SMD:R_0805_2012Metric"	"Resistor, small symbol"	""
"RV1"	"1M"	"Device:R_POT_Small"	"Potentiometer_SMD:Potentiometer_Bourns_3214J_Horizontal"	"Potentiometer"	""
"SW1"	"Step"	"Switch:SW_Push"	"Button_Switch_SMD:Panasonic_EVQPUK_EVQPUB"	"Push button switch, generic, two pins"	""
"SW2"	"Switch"	"Switch:SW_Push_SPDT"	"Button_Switch_SMD:SW_SPDT_CK-JS102011SAQN"	"Momentary Switch, single pole double throw"	""
"SW3"	"Halt"	"Switch:SW_Push_SPDT"	"Button_Switch_SMD:SW_SPDT_CK-JS102011SAQN"	"Momentary Switch, single pole double throw"	""
"U1"	"TLC556"	"Grotto:TLC556"	"grotto:SOIC127P600X175-14N"	"DUAL LinCMOS TIMERS"	""
"U2"	"LMC555xN"	"Timer:LMC555xN"	"Package_SO:SO-8_3.9x4.9mm_P1.27mm"	"CMOS Timer, DIP-8"	""
"U3"	"74HC00"	"74xx:74HC00"	"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"	"quad 2-input NAND gate"	""
"U4"	"74HC00"	"74xx:74HC00"	"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"	"quad 2-input NAND gate"	""
